"Time","203042","","203042","","203042","","203042","","203042","","203042",""
"and","10.00","","130.00","","136.00","","422.00","","459.00","","700.00",""
"Date","Rainfall (mm)","","Res. Level (m)","","Volume (ML)","","Net Inflow 24h ML","","Storage Rel 24h ML","","Evap.[US] (mm.)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Total","Qual","Total","Qual","Total","Qual"
00:00:00 01/01/2005,         0.0,    130,     127.613,      4,"",    255,       -7.60,    130,        3.00,    130,"",    255,Sites:
00:00:00 02/01/2005,         0.0,    130,     127.609,      4,"",    255,       -0.98,    130,        3.00,    130,"",    255,203042 - IRONPOT CREEK AT TOONUMBAR DAM-STORAGE GAUGE Lat:-28.6185 Long:152.7936 Elev:155.906
00:00:00 03/01/2005,         0.0,    130,     127.603,      4,"",    255,        2.63,    130,        9.25,    130,"",    255,
00:00:00 04/01/2005,         0.0,    130,     127.597,      4,"",    255,       -4.82,    130,       12.38,    130,"",    255,Variables:
00:00:00 05/01/2005,         2.5,    130,     127.589,      4,"",    255,       -2.54,    130,       12.00,    130,"",    255,10 - Rainfall (Millimetres)
00:00:00 06/01/2005,         4.4,    130,     127.578,      4,"",    255,        8.04,    130,       12.00,    130,"",    255,130 - Reservoir Water Level (Metres)
00:00:00 07/01/2005,         1.7,    130,     127.565,      4,"",    255,       -1.19,    130,       12.00,    130,"",    255,136 - Reservoir Volume in Storage (Megalitres)
00:00:00 08/01/2005,         0.6,    130,     127.552,      4,"",    255,       -9.08,    130,       12.00,    130,"",    255,422 - Net Reservoir Inflow 24hours (Megalitres)
00:00:00 09/01/2005,         0.6,    130,     127.536,      4,"",    255,       -9.05,    130,       12.00,    130,"",    255,459 - Storage Releases 24 hour Total (Megalitres)
00:00:00 10/01/2005,         0.4,    130,     127.519,      4,"",    255,       -2.45,    130,       12.00,    130,"",    255,700 - Evaporation from a U.S. Class A Pan (Millimetres)
00:00:00 11/01/2005,         0.1,    130,     127.502,      4,"",    255,       -5.05,    130,       12.00,    130,"",    255,
00:00:00 12/01/2005,         0.0,    130,     127.486,      4,"",    255,       -2.41,    130,       12.00,    130,"",    255,Qualities:
00:00:00 13/01/2005,         0.0,    130,     127.469,      4,"",    255,       -1.26,    130,       15.75,    130,"",    255,3 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
00:00:00 14/01/2005,         0.0,    130,     127.446,      4,"",    255,      -13.07,    130,       27.38,    130,"",    255,4 - TS - Data adjusted during processing - see code definitions
00:00:00 15/01/2005,         0.0,    130,     127.411,      4,"",    255,      -12.68,    130,       19.88,    130,"",    255,6 - GAUGINGS - Good Gauging to AS3778; TS - Data adjusted during processing - see comments
00:00:00 16/01/2005,         0.0,    130,     127.385,      4,"",    255,      -16.28,    130,        4.50,    130,"",    255,8 - TS - Data adjusted during processing - see comments
00:00:00 17/01/2005,        10.4,    130,     127.362,      4,"",    255,      -14.27,    130,        0.00,    130,"",    255,36 - Pre 21 Aug 2004 - TS - Good spot samples (daily read) +/-15 minutes
00:00:00 18/01/2005,        10.0,    130,     127.355,      4,"",    255,      -16.83,    130,        0.00,    130,"",    255,51 - TS - Data estimated - see comments
00:00:00 19/01/2005,         2.3,    130,     127.343,      4,"",    255,        0.36,    130,        8.13,    130,"",    255,130 - Not quality coded - subject to change
00:00:00 20/01/2005,         0.0,    130,     127.334,      4,"",    255,        6.54,    130,       13.00,    130,"",    255,255 - No data
00:00:00 21/01/2005,         0.0,    130,     127.326,      4,"",    255,        2.66,    130,       13.00,    130,"",    255,255 - No data exists
00:00:00 22/01/2005,        28.8,    130,     127.321,      4,"",    255,       13.92,    130,        4.88,    130,"",    255,255 - Data Unavailable
00:00:00 23/01/2005,        26.3,    130,     127.333,      4,"",    255,       14.22,    130,        0.00,    130,"",    255
00:00:00 24/01/2005,        17.3,    130,     127.349,      4,"",    255,       19.11,    130,        8.75,    130,"",    255
00:00:00 25/01/2005,        14.6,    130,     127.368,      4,"",    255,       34.22,    130,       10.88,    130,"",    255
00:00:00 26/01/2005,         6.9,    130,     127.391,      4,"",    255,       27.17,    130,        9.00,    130,"",    255
00:00:00 27/01/2005,        17.4,    130,     127.437,      4,"",    255,      133.66,    130,        5.25,    130,"",    255
00:00:00 28/01/2005,         9.6,    130,     127.607,      4,"",    255,      130.73,    130,        3.00,    130,"",    255
00:00:00 29/01/2005,         0.0,    130,     127.671,      4,"",    255,       48.13,    130,        3.00,    130,"",    255
00:00:00 30/01/2005,         0.6,    130,     127.690,      4,"",    255,       17.65,    130,        3.00,    130,"",    255
00:00:00 31/01/2005,         0.4,    130,     127.699,      4,"",    255,        7.00,    130,        3.00,    130,"",    255
00:00:00 01/02/2005,         0.0,    130,     127.708,      4,"",    255,        9.67,    130,        3.00,    130,"",    255
00:00:00 02/02/2005,         0.0,    130,     127.709,      4,"",    255,        7.00,    130,        3.00,    130,"",    255
00:00:00 03/02/2005,         0.0,    130,     127.709,      4,"",    255,        2.38,    130,        2.38,    130,"",    255
00:00:00 04/02/2005,         0.0,    130,     127.708,      4,"",    255,        3.88,    130,        3.88,    130,"",    255
00:00:00 05/02/2005,         0.0,    130,     127.703,      4,"",    255,       -1.67,    130,        5.00,    130,"",    255
00:00:00 06/02/2005,         0.0,    130,     127.698,      4,"",    255,       -5.67,    130,        5.00,    130,"",    255
00:00:00 07/02/2005,         0.0,    130,     127.692,      4,"",    255,        1.00,    130,        5.00,    130,"",    255
