"Time","203042","","203042","","203042","","203042","","203042","","203042",""
"and","10.00","","130.00","","136.00","","422.00","","459.00","","700.00",""
"Date","Rainfall (mm)","","Res. Level (m)","","Volume (ML)","","Net Inflow 24h ML","","Storage Rel 24h ML","","Evap.[US] (mm.)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Total","Qual","Total","Qual","Total","Qual"
00:00:00 18/02/2010,"",    255,     129.699,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/02/2010,"",    255,     129.672,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/02/2010,"",    255,     129.661,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/02/2010,"",    255,     129.658,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/02/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/02/2010,"",    255,     129.648,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/02/2010,"",    255,     129.641,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/02/2010,"",    255,     129.648,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/02/2010,"",    255,     129.665,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/02/2010,"",    255,     129.673,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 28/02/2010,"",    255,     129.677,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 01/03/2010,"",    255,     129.763,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/03/2010,"",    255,     130.178,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/03/2010,"",    255,     130.076,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/03/2010,"",    255,     129.905,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/03/2010,"",    255,     129.778,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/03/2010,"",    255,     129.771,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/03/2010,"",    255,     129.808,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 08/03/2010,"",    255,     129.742,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 09/03/2010,"",    255,     129.717,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 10/03/2010,"",    255,     129.699,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 11/03/2010,"",    255,     129.690,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 12/03/2010,"",    255,     129.719,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 13/03/2010,"",    255,     129.714,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 14/03/2010,"",    255,     129.715,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 15/03/2010,"",    255,     129.749,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 16/03/2010,"",    255,     129.719,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 17/03/2010,"",    255,     129.706,      3,"",    255,"",    255,"",    255,"",    255
